,x
connectance,0.333333333
web asymmetry,0.55
links per species,2.325
number of compartments,1
compartment diversity,NA
cluster coefficient,0.222222222
nestedness,23.30983344
weighted nestedness,0.432348065
weighted NODF,29.5330371
interaction strength asymmetry,0.143141854
specialisation asymmetry,-0.149561598
linkage density,5.299181621
weighted connectance,0.132479541
Fisher alpha,27.65201675
Shannon diversity,3.764040217
interaction evenness,0.668424553
Alatalo interaction evenness,0.519561405
H2,0.389251858
number.of.species.HL,31
number.of.species.LL,9
mean.number.of.shared.partners.HL,1.206451613
mean.number.of.shared.partners.LL,4.611111111
cluster.coefficient.HL,0.668972474
cluster.coefficient.LL,0.43441697
weighted.cluster.coefficient.HL,0.977237702
weighted.cluster.coefficient.LL,0.633292318
niche.overlap.HL,0.277955389
niche.overlap.LL,0.407930333
togetherness.HL,0.179569892
togetherness.LL,0.250231481
C.score.HL,0.404818228
C.score.LL,0.241222538
V.ratio.HL,2.713429257
V.ratio.LL,5.548543689
discrepancy.HL,25
discrepancy.LL,29
extinction.slope.HL,2.457276691
extinction.slope.LL,0.999995542
robustness.HL,0.70659437
robustness.LL,0.895565965
functional.complementarity.HL,557.0550469
functional.complementarity.LL,459.8922801
partner.diversity.HL,1.193529431
partner.diversity.LL,1.830446771
generality.HL,3.568748815
vulnerability.LL,7.029614428
