,x
connectance,0.312820513
web asymmetry,0.551724138
links per species,3.155172414
number of compartments,1
compartment diversity,NA
cluster coefficient,0.307692308
nestedness,30.30794296
weighted nestedness,0.19645898
weighted NODF,20.870987
interaction strength asymmetry,0.085088936
specialisation asymmetry,-0.187428406
linkage density,8.883064296
weighted connectance,0.153156281
Fisher alpha,104.0482578
Shannon diversity,4.90375148
interaction evenness,0.769624955
Alatalo interaction evenness,0.75644124
H2,0.304429265
number.of.species.HL,45
number.of.species.LL,13
mean.number.of.shared.partners.HL,1.395959596
mean.number.of.shared.partners.LL,5.923076923
cluster.coefficient.HL,0.520769231
cluster.coefficient.LL,0.360711111
weighted.cluster.coefficient.HL,0.981572546
weighted.cluster.coefficient.LL,0.751502774
niche.overlap.HL,0.220249638
niche.overlap.LL,0.342325615
togetherness.HL,0.144925445
togetherness.LL,0.248524624
C.score.HL,0.490282886
C.score.LL,0.315018645
V.ratio.HL,3.087367625
V.ratio.LL,3.790880503
discrepancy.HL,63
discrepancy.LL,80
extinction.slope.HL,3.253859871
extinction.slope.LL,13.62878938
robustness.HL,0.751317935
robustness.LL,0.919332699
functional.complementarity.HL,237.2555341
functional.complementarity.LL,179.2462376
partner.diversity.HL,1.580736329
partner.diversity.LL,2.461558676
generality.HL,5.522814023
vulnerability.LL,12.24331457
