,x
connectance,0.138111888
web asymmetry,-0.083333333
links per species,1.645833333
number of compartments,2
compartment diversity,1.189110093
cluster coefficient,0.076923077
nestedness,10.29747371
weighted nestedness,0.472364547
weighted NODF,18.71474249
interaction strength asymmetry,-0.046670652
specialisation asymmetry,0.111758197
linkage density,5.107991868
weighted connectance,0.106416497
Fisher alpha,35.7557106
Shannon diversity,3.879696436
interaction evenness,0.611058671
Alatalo interaction evenness,0.659085648
H2,0.385714991
number.of.species.HL,22
number.of.species.LL,26
mean.number.of.shared.partners.HL,0.792207792
mean.number.of.shared.partners.LL,0.723076923
cluster.coefficient.HL,0.341909814
cluster.coefficient.LL,0.292946708
weighted.cluster.coefficient.HL,0.467360107
weighted.cluster.coefficient.LL,0.547827741
niche.overlap.HL,0.173693932
niche.overlap.LL,0.20459832
togetherness.HL,0.075989487
togetherness.LL,0.084846154
C.score.HL,0.605019187
C.score.LL,0.601529915
V.ratio.HL,4.514307811
V.ratio.LL,3.540863787
discrepancy.HL,34
discrepancy.LL,37
extinction.slope.HL,0.999992467
extinction.slope.LL,2.078790429
robustness.HL,0.677835787
robustness.LL,0.671788335
functional.complementarity.HL,175.0357223
functional.complementarity.LL,164.638705
partner.diversity.HL,1.64609047
partner.diversity.LL,1.28637363
generality.HL,5.878212393
vulnerability.LL,4.337771344
