,x
connectance,0.371794872
web asymmetry,0.395348837
links per species,3.372093023
number of compartments,1
compartment diversity,NA
cluster coefficient,0.346153846
nestedness,30.31408035
weighted nestedness,0.36632743
weighted NODF,21.18282519
interaction strength asymmetry,0.044247241
specialisation asymmetry,-0.192820497
linkage density,9.066853403
weighted connectance,0.210857056
Fisher alpha,162.6668093
Shannon diversity,4.825734366
interaction evenness,0.808852778
Alatalo interaction evenness,0.846606258
H2,0.203442566
number.of.species.HL,30
number.of.species.LL,13
mean.number.of.shared.partners.HL,2.002298851
mean.number.of.shared.partners.LL,4.884615385
cluster.coefficient.HL,0.510519395
cluster.coefficient.LL,0.450569801
weighted.cluster.coefficient.HL,0.968063
weighted.cluster.coefficient.LL,0.802479667
niche.overlap.HL,0.358118681
niche.overlap.LL,0.390216992
togetherness.HL,0.202681992
togetherness.LL,0.245014245
C.score.HL,0.377465608
C.score.LL,0.329532238
V.ratio.HL,2.511165246
V.ratio.LL,3.584867076
discrepancy.HL,51
discrepancy.LL,50
extinction.slope.HL,4.708353198
extinction.slope.LL,11.37020773
robustness.HL,0.810836651
robustness.LL,0.905640637
functional.complementarity.HL,87.98961666
functional.complementarity.LL,74.58494135
partner.diversity.HL,1.671051589
partner.diversity.LL,2.467922544
generality.HL,5.793097371
vulnerability.LL,12.34060943
