,x
connectance,0.194557823
web asymmetry,0.53125
links per species,2.234375
number of compartments,1
compartment diversity,NA
cluster coefficient,0.133333333
nestedness,9.468355971
weighted nestedness,0.776873528
weighted NODF,37.89585555
interaction strength asymmetry,0.164247317
specialisation asymmetry,-0.151985709
linkage density,8.522938811
weighted connectance,0.133170919
Fisher alpha,43.35779279
Shannon diversity,4.153628805
interaction evenness,0.629350046
Alatalo interaction evenness,0.580306242
H2,0.263779782
number.of.species.HL,49
number.of.species.LL,15
mean.number.of.shared.partners.HL,1.217687075
mean.number.of.shared.partners.LL,2.542857143
cluster.coefficient.HL,0.455634218
cluster.coefficient.LL,0.519721871
weighted.cluster.coefficient.HL,0.818966821
weighted.cluster.coefficient.LL,0.471606098
niche.overlap.HL,0.458630494
niche.overlap.LL,0.392746647
togetherness.HL,0.210207231
togetherness.LL,0.107090336
C.score.HL,0.307169148
C.score.LL,0.349759202
V.ratio.HL,3.181
V.ratio.LL,16.79564033
discrepancy.HL,48
discrepancy.LL,44
extinction.slope.HL,2.327746192
extinction.slope.LL,4.770407529
robustness.HL,0.697900768
robustness.LL,0.79462431
functional.complementarity.HL,591.1195383
functional.complementarity.LL,479.8099298
partner.diversity.HL,1.306181899
partner.diversity.LL,2.309928425
generality.HL,4.316046748
vulnerability.LL,12.72983087
