,x
connectance,0.297619048
web asymmetry,0.647058824
links per species,1.470588235
number of compartments,1
compartment diversity,NA
cluster coefficient,0.166666667
nestedness,20.46402077
weighted nestedness,0.728047792
weighted NODF,27.04693243
interaction strength asymmetry,0.276397023
specialisation asymmetry,-0.342946015
linkage density,7.058011629
weighted connectance,0.207588577
Fisher alpha,23.97414708
Shannon diversity,3.552763851
interaction evenness,0.693362378
Alatalo interaction evenness,0.755474595
H2,0.322396949
number.of.species.HL,28
number.of.species.LL,6
mean.number.of.shared.partners.HL,0.91005291
mean.number.of.shared.partners.LL,2.8
cluster.coefficient.HL,0.510848126
cluster.coefficient.LL,0.568892646
weighted.cluster.coefficient.HL,0.862524879
weighted.cluster.coefficient.LL,0.232361946
niche.overlap.HL,0.561830625
niche.overlap.LL,0.388765423
togetherness.HL,0.303057025
togetherness.LL,0.173489279
C.score.HL,0.232326573
C.score.LL,0.315501378
V.ratio.HL,1.891238671
V.ratio.LL,11.61445783
discrepancy.HL,14
discrepancy.LL,11
extinction.slope.HL,1.309053114
extinction.slope.LL,0.999458456
robustness.HL,0.576436019
robustness.LL,0.861901694
functional.complementarity.HL,88.44362771
functional.complementarity.LL,75.91969909
partner.diversity.HL,0.814151237
partner.diversity.LL,2.215751965
generality.HL,2.708078456
vulnerability.LL,11.4079448
